hotel,numero,type,capacite,prix,vue,statut,date_creation,date_update
6956e0fd33e2abe4be8bd2ac,101,DELUXE,4,91,ville,MAINTENANCE,2026-01-01 21:02:53.586,2026-01-01 21:02:53.586
6956e0fd33e2abe4be8bd2ac,102,DOUBLE,2,104,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.597,2026-01-01 21:02:53.597
6956e0fd33e2abe4be8bd2ac,103,SUITE,3,441,mer,OCCUPEE,2026-01-01 21:02:53.598,2026-01-01 21:02:53.598
6956e0fd33e2abe4be8bd2ac,104,DOUBLE,2,269,montagne,DISPONIBLE,2026-01-01 21:02:53.600,2026-01-01 21:02:53.600
6956e0fd33e2abe4be8bd2ac,105,SUITE,3,435,panoramique,OCCUPEE,2026-01-01 21:02:53.601,2026-01-01 21:02:53.601
6956e0fd33e2abe4be8bd2ac,106,SUITE,3,249,jardin,DISPONIBLE,2026-01-01 21:02:53.602,2026-01-01 21:02:53.602
6956e0fd33e2abe4be8bd2ac,107,DELUXE,4,306,montagne,OCCUPEE,2026-01-01 21:02:53.603,2026-01-01 21:02:53.603
6956e0fd33e2abe4be8bd2ac,108,SIMPLE,1,422,jardin,OCCUPEE,2026-01-01 21:02:53.604,2026-01-01 21:02:53.604
6956e0fd33e2abe4be8bd2ac,109,DOUBLE,2,331,ville,DISPONIBLE,2026-01-01 21:02:53.605,2026-01-01 21:02:53.605
6956e0fd33e2abe4be8bd2ac,210,DOUBLE,2,303,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.606,2026-01-01 21:02:53.606
6956e0fd33e2abe4be8bd2ac,201,SIMPLE,1,253,montagne,OCCUPEE,2026-01-01 21:02:53.608,2026-01-01 21:02:53.608
6956e0fd33e2abe4be8bd2ac,202,DOUBLE,2,364,ville,DISPONIBLE,2026-01-01 21:02:53.609,2026-01-01 21:02:53.609
6956e0fd33e2abe4be8bd2ac,203,DOUBLE,2,183,panoramique,DISPONIBLE,2026-01-01 21:02:53.610,2026-01-01 21:02:53.610
6956e0fd33e2abe4be8bd2ac,204,SIMPLE,1,243,panoramique,MAINTENANCE,2026-01-01 21:02:53.612,2026-01-01 21:02:53.612
6956e0fd33e2abe4be8bd2ac,205,SUITE,3,298,ville,MAINTENANCE,2026-01-01 21:02:53.614,2026-01-01 21:02:53.614
6956e0fd33e2abe4be8bd2ac,206,SIMPLE,1,200,mer,MAINTENANCE,2026-01-01 21:02:53.616,2026-01-01 21:02:53.616
6956e0fd33e2abe4be8bd2ac,207,DOUBLE,2,300,panoramique,OCCUPEE,2026-01-01 21:02:53.618,2026-01-01 21:02:53.618
6956e0fd33e2abe4be8bd2ac,208,SIMPLE,1,123,ville,MAINTENANCE,2026-01-01 21:02:53.620,2026-01-01 21:02:53.620
6956e0fd33e2abe4be8bd2ac,209,SUITE,3,228,jardin,DISPONIBLE,2026-01-01 21:02:53.621,2026-01-01 21:02:53.621
6956e0fd33e2abe4be8bd2ac,310,DOUBLE,2,108,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.622,2026-01-01 21:02:53.622
6956e0fd33e2abe4be8bd2ac,301,DOUBLE,2,169,cour intérieure,OCCUPEE,2026-01-01 21:02:53.624,2026-01-01 21:02:53.624
6956e0fd33e2abe4be8bd2ac,302,DELUXE,4,452,jardin,OCCUPEE,2026-01-01 21:02:53.626,2026-01-01 21:02:53.626
6956e0fd33e2abe4be8bd2ac,303,DOUBLE,2,233,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.627,2026-01-01 21:02:53.627
6956e0fd33e2abe4be8bd2ac,304,DOUBLE,2,410,ville,MAINTENANCE,2026-01-01 21:02:53.629,2026-01-01 21:02:53.629
6956e0fd33e2abe4be8bd2ac,305,SUITE,3,281,mer,OCCUPEE,2026-01-01 21:02:53.629,2026-01-01 21:02:53.629
6956e0fd33e2abe4be8bd2ac,306,DELUXE,4,363,mer,MAINTENANCE,2026-01-01 21:02:53.630,2026-01-01 21:02:53.630
6956e0fd33e2abe4be8bd2ae,101,DOUBLE,2,489,panoramique,DISPONIBLE,2026-01-01 21:02:53.631,2026-01-01 21:02:53.631
6956e0fd33e2abe4be8bd2ae,102,SUITE,3,186,panoramique,DISPONIBLE,2026-01-01 21:02:53.632,2026-01-01 21:02:53.632
6956e0fd33e2abe4be8bd2ae,103,SIMPLE,1,277,panoramique,OCCUPEE,2026-01-01 21:02:53.633,2026-01-01 21:02:53.633
6956e0fd33e2abe4be8bd2ae,104,SIMPLE,1,203,montagne,DISPONIBLE,2026-01-01 21:02:53.634,2026-01-01 21:02:53.634
6956e0fd33e2abe4be8bd2ae,105,DELUXE,4,405,panoramique,MAINTENANCE,2026-01-01 21:02:53.635,2026-01-01 21:02:53.635
6956e0fd33e2abe4be8bd2ae,106,DOUBLE,2,256,panoramique,DISPONIBLE,2026-01-01 21:02:53.636,2026-01-01 21:02:53.636
6956e0fd33e2abe4be8bd2ae,107,DELUXE,4,407,montagne,OCCUPEE,2026-01-01 21:02:53.637,2026-01-01 21:02:53.637
6956e0fd33e2abe4be8bd2ae,108,DELUXE,4,160,jardin,OCCUPEE,2026-01-01 21:02:53.638,2026-01-01 21:02:53.638
6956e0fd33e2abe4be8bd2ae,109,SIMPLE,1,290,cour intérieure,OCCUPEE,2026-01-01 21:02:53.640,2026-01-01 21:02:53.640
6956e0fd33e2abe4be8bd2ae,210,DELUXE,4,242,montagne,MAINTENANCE,2026-01-01 21:02:53.642,2026-01-01 21:02:53.642
6956e0fd33e2abe4be8bd2ae,201,SIMPLE,1,418,mer,MAINTENANCE,2026-01-01 21:02:53.643,2026-01-01 21:02:53.643
6956e0fd33e2abe4be8bd2ae,202,DELUXE,4,482,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.645,2026-01-01 21:02:53.645
6956e0fd33e2abe4be8bd2ae,203,DELUXE,4,367,jardin,DISPONIBLE,2026-01-01 21:02:53.647,2026-01-01 21:02:53.647
6956e0fd33e2abe4be8bd2ae,204,SUITE,3,210,cour intérieure,OCCUPEE,2026-01-01 21:02:53.648,2026-01-01 21:02:53.648
6956e0fd33e2abe4be8bd2ae,205,DELUXE,4,386,mer,DISPONIBLE,2026-01-01 21:02:53.649,2026-01-01 21:02:53.649
6956e0fd33e2abe4be8bd2ae,206,DOUBLE,2,83,montagne,MAINTENANCE,2026-01-01 21:02:53.650,2026-01-01 21:02:53.650
6956e0fd33e2abe4be8bd2ae,207,DOUBLE,2,445,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.651,2026-01-01 21:02:53.651
6956e0fd33e2abe4be8bd2ae,208,DELUXE,4,165,ville,MAINTENANCE,2026-01-01 21:02:53.652,2026-01-01 21:02:53.652
6956e0fd33e2abe4be8bd2ae,209,DELUXE,4,479,montagne,OCCUPEE,2026-01-01 21:02:53.652,2026-01-01 21:02:53.652
6956e0fd33e2abe4be8bd2ae,310,DELUXE,4,479,ville,MAINTENANCE,2026-01-01 21:02:53.654,2026-01-01 21:02:53.654
6956e0fd33e2abe4be8bd2ae,301,DOUBLE,2,445,jardin,DISPONIBLE,2026-01-01 21:02:53.655,2026-01-01 21:02:53.655
6956e0fd33e2abe4be8bd2ae,302,SUITE,3,391,ville,MAINTENANCE,2026-01-01 21:02:53.657,2026-01-01 21:02:53.657
6956e0fd33e2abe4be8bd2ae,303,SUITE,3,293,montagne,DISPONIBLE,2026-01-01 21:02:53.658,2026-01-01 21:02:53.658
6956e0fd33e2abe4be8bd2ae,304,DOUBLE,2,492,jardin,MAINTENANCE,2026-01-01 21:02:53.661,2026-01-01 21:02:53.661
6956e0fd33e2abe4be8bd2ae,305,DOUBLE,2,327,jardin,OCCUPEE,2026-01-01 21:02:53.663,2026-01-01 21:02:53.663
6956e0fd33e2abe4be8bd2ae,306,DELUXE,4,497,jardin,OCCUPEE,2026-01-01 21:02:53.666,2026-01-01 21:02:53.666
6956e0fd33e2abe4be8bd2ae,307,SUITE,3,464,montagne,DISPONIBLE,2026-01-01 21:02:53.668,2026-01-01 21:02:53.668
6956e0fd33e2abe4be8bd2ae,308,DOUBLE,2,188,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.670,2026-01-01 21:02:53.670
6956e0fd33e2abe4be8bd2ae,309,SIMPLE,1,157,montagne,DISPONIBLE,2026-01-01 21:02:53.673,2026-01-01 21:02:53.673
6956e0fd33e2abe4be8bd2ae,410,SIMPLE,1,232,jardin,MAINTENANCE,2026-01-01 21:02:53.675,2026-01-01 21:02:53.675
6956e0fd33e2abe4be8bd2ae,401,SIMPLE,1,113,jardin,DISPONIBLE,2026-01-01 21:02:53.678,2026-01-01 21:02:53.678
6956e0fd33e2abe4be8bd2ae,402,SUITE,3,472,ville,DISPONIBLE,2026-01-01 21:02:53.680,2026-01-01 21:02:53.680
6956e0fd33e2abe4be8bd2b0,101,SIMPLE,1,99,mer,DISPONIBLE,2026-01-01 21:02:53.681,2026-01-01 21:02:53.681
6956e0fd33e2abe4be8bd2b0,102,SUITE,3,92,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.683,2026-01-01 21:02:53.683
6956e0fd33e2abe4be8bd2b0,103,DELUXE,4,456,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.684,2026-01-01 21:02:53.684
6956e0fd33e2abe4be8bd2b0,104,SUITE,3,217,panoramique,MAINTENANCE,2026-01-01 21:02:53.686,2026-01-01 21:02:53.686
6956e0fd33e2abe4be8bd2b0,105,DELUXE,4,252,jardin,MAINTENANCE,2026-01-01 21:02:53.687,2026-01-01 21:02:53.687
6956e0fd33e2abe4be8bd2b0,106,DOUBLE,2,452,montagne,DISPONIBLE,2026-01-01 21:02:53.688,2026-01-01 21:02:53.688
6956e0fd33e2abe4be8bd2b0,107,DELUXE,4,377,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.689,2026-01-01 21:02:53.689
6956e0fd33e2abe4be8bd2b0,108,SUITE,3,93,panoramique,MAINTENANCE,2026-01-01 21:02:53.691,2026-01-01 21:02:53.691
6956e0fd33e2abe4be8bd2b0,109,SIMPLE,1,256,mer,MAINTENANCE,2026-01-01 21:02:53.693,2026-01-01 21:02:53.693
6956e0fd33e2abe4be8bd2b0,210,SIMPLE,1,134,mer,OCCUPEE,2026-01-01 21:02:53.694,2026-01-01 21:02:53.694
6956e0fd33e2abe4be8bd2b0,201,SUITE,3,409,jardin,MAINTENANCE,2026-01-01 21:02:53.696,2026-01-01 21:02:53.696
6956e0fd33e2abe4be8bd2b0,202,SUITE,3,129,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.697,2026-01-01 21:02:53.697
6956e0fd33e2abe4be8bd2b0,203,DOUBLE,2,376,jardin,MAINTENANCE,2026-01-01 21:02:53.698,2026-01-01 21:02:53.698
6956e0fd33e2abe4be8bd2b0,204,SIMPLE,1,404,ville,DISPONIBLE,2026-01-01 21:02:53.699,2026-01-01 21:02:53.699
6956e0fd33e2abe4be8bd2b0,205,DELUXE,4,196,panoramique,DISPONIBLE,2026-01-01 21:02:53.701,2026-01-01 21:02:53.701
6956e0fd33e2abe4be8bd2b0,206,DOUBLE,2,407,jardin,MAINTENANCE,2026-01-01 21:02:53.702,2026-01-01 21:02:53.702
6956e0fd33e2abe4be8bd2b0,207,DOUBLE,2,426,panoramique,DISPONIBLE,2026-01-01 21:02:53.703,2026-01-01 21:02:53.703
6956e0fd33e2abe4be8bd2b0,208,DOUBLE,2,383,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.704,2026-01-01 21:02:53.704
6956e0fd33e2abe4be8bd2b0,209,SUITE,3,325,panoramique,MAINTENANCE,2026-01-01 21:02:53.704,2026-01-01 21:02:53.704
6956e0fd33e2abe4be8bd2b0,310,SIMPLE,1,188,panoramique,MAINTENANCE,2026-01-01 21:02:53.705,2026-01-01 21:02:53.705
6956e0fd33e2abe4be8bd2b0,301,DELUXE,4,318,ville,MAINTENANCE,2026-01-01 21:02:53.707,2026-01-01 21:02:53.707
6956e0fd33e2abe4be8bd2b0,302,DELUXE,4,257,montagne,DISPONIBLE,2026-01-01 21:02:53.708,2026-01-01 21:02:53.708
6956e0fd33e2abe4be8bd2b0,303,SIMPLE,1,306,panoramique,OCCUPEE,2026-01-01 21:02:53.708,2026-01-01 21:02:53.708
6956e0fd33e2abe4be8bd2b0,304,DOUBLE,2,248,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.709,2026-01-01 21:02:53.709
6956e0fd33e2abe4be8bd2b0,305,DELUXE,4,291,jardin,DISPONIBLE,2026-01-01 21:02:53.710,2026-01-01 21:02:53.710
6956e0fd33e2abe4be8bd2b0,306,DOUBLE,2,307,mer,OCCUPEE,2026-01-01 21:02:53.711,2026-01-01 21:02:53.711
6956e0fd33e2abe4be8bd2b0,307,SUITE,3,304,cour intérieure,OCCUPEE,2026-01-01 21:02:53.713,2026-01-01 21:02:53.713
6956e0fd33e2abe4be8bd2b0,308,DELUXE,4,196,mer,OCCUPEE,2026-01-01 21:02:53.714,2026-01-01 21:02:53.714
6956e0fd33e2abe4be8bd2b2,101,SUITE,3,116,ville,MAINTENANCE,2026-01-01 21:02:53.716,2026-01-01 21:02:53.716
6956e0fd33e2abe4be8bd2b2,102,DELUXE,4,161,cour intérieure,DISPONIBLE,2026-01-01 21:02:53.716,2026-01-01 21:02:53.716
6956e0fd33e2abe4be8bd2b2,103,SUITE,3,346,mer,OCCUPEE,2026-01-01 21:02:53.718,2026-01-01 21:02:53.718
6956e0fd33e2abe4be8bd2b2,104,SIMPLE,1,226,panoramique,MAINTENANCE,2026-01-01 21:02:53.718,2026-01-01 21:02:53.718
6956e0fd33e2abe4be8bd2b2,105,SIMPLE,1,229,cour intérieure,MAINTENANCE,2026-01-01 21:02:53.719,2026-01-01 21:02:53.719
6956e0fd33e2abe4be8bd2b2,106,SUITE,3,358,mer,DISPONIBLE,2026-01-01 21:02:53.720,2026-01-01 21:02:53.720
6956e0fd33e2abe4be8bd2b2,107,DOUBLE,2,192,ville,OCCUPEE,2026-01-01 21:02:53.722,2026-01-01 21:02:53.722
